Symbol,Name,Allocation,AssetClass,Sector,Industry,InstrumentType,vqTheme
MSFT,Microsoft Corporation,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
NFLX,Netflix Inc,4.9,Equities,Communication Services,Entertainment,Common Stock,Cloud Computing
NOW,ServiceNow Inc,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
ORCL,Oracle Corporation,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
VEEV,Veeva Systems Inc Class A,4.9,Equities,Health Care,Health Care Technology,Common Stock,Cloud Computing
AAPL,Apple Inc,4.9,Equities,Information Technology,"Technology Hardware, Storage & Peripherals",Common Stock,AI & Analytics
ADI,Analog Devices Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,AI & Analytics
HUBB,Hubbell Inc,4.9,Equities,Industrials,Electrical Equipment,Common Stock,AI & Analytics
NVDA,NVIDIA Corporation,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,AI & Analytics
PTC,PTC Inc,4.9,Equities,Information Technology,Software,Common Stock,AI & Analytics
AGG,iShares Core U.S. Aggregate Bond ETF,2,Fixed Income,Other,Intermediate Core Bond,ETF,-
AKAM,Akamai Technologies Inc,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
ATEN,A10 Network,4.9,Equities,Information Technology,Software,Common Stock,CyberSecurity
CACI,CACI International Inc,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
CSCO,Cisco Systems Inc,4.9,Equities,Information Technology,Communications Equipment,Common Stock,CyberSecurity
SAIC,Science Applications International Corp,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
AVGO,Broadcom Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
BMI,Badger Meter Inc,4.9,Equities,Information Technology,"Electronic Equipment, Instruments & Components",Common Stock,5G & Internet of Things
DIOD,Diodes Incorporated,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
EMR,Emerson Electric Company,4.9,Equities,Industrials,Electrical Equipment,Common Stock,5G & Internet of Things
MTSI,MACOM Technology Solutions Holdings Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
