Symbol,Name,Allocation,AssetClass,Sector,Industry,InstrumentType,vqTheme
ADI,Analog Devices Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
AVGO,Broadcom Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
BDC,Belden Inc,4.9,Equities,Information Technology,"Electronic Equipment, Instruments & Components",Common Stock,5G & Internet of Things
BMI,Badger Meter Inc,4.9,Equities,Information Technology,"Electronic Equipment, Instruments & Components",Common Stock,5G & Internet of Things
MTSI,MACOM Technology Solutions Holdings Inc,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,5G & Internet of Things
CDNS,Cadence Design Systems Inc,4.9,Equities,Information Technology,Software,Common Stock,AI & Analytics
GOOGL,Alphabet Inc Class A,4.9,Equities,Communication Services,Interactive Media & Services,Common Stock,AI & Analytics
NXPI,NXP Semiconductors NV,4.9,Equities,Information Technology,Semiconductors & Semiconductor Equipment,Common Stock,AI & Analytics
ORCL,Oracle Corporation,4.9,Equities,Information Technology,Software,Common Stock,AI & Analytics
SMCI,Super Micro Computer Inc,4.9,Equities,Information Technology,"Technology Hardware, Storage & Peripherals",Common Stock,AI & Analytics
AGG,iShares Core U.S. Aggregate Bond ETF,2,Fixed Income,Other,Intermediate Core Bond,ETF,-
AKAM,Akamai Technologies Inc,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
ATEN,A10 Network,4.9,Equities,Information Technology,Software,Common Stock,CyberSecurity
CACI,CACI International Inc,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
CSCO,Cisco Systems Inc,4.9,Equities,Information Technology,Communications Equipment,Common Stock,CyberSecurity
SAIC,Science Applications International Corp,4.9,Equities,Information Technology,IT Services,Common Stock,CyberSecurity
ADBE,Adobe Systems Incorporated,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
AMZN,Amazon.com Inc,4.9,Equities,Consumer Discretionary,Internet & Direct Marketing Retail,Common Stock,Cloud Computing
ANET,Arista Networks,4.9,Equities,Information Technology,Communications Equipment,Common Stock,Cloud Computing
NTAP,NetApp Inc,4.9,Equities,Information Technology,"Technology Hardware, Storage & Peripherals",Common Stock,Cloud Computing
WDAY,Workday Inc,4.9,Equities,Information Technology,Software,Common Stock,Cloud Computing
